Delay,Bandwidth,Source IP address,Destination IP address,date_year,date_month_no,date_day,hour,min,sec
8.70E-05,74,82,61,2022,8,9,14,17,49
0.000125,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
5.60E-05,74,82,61,2022,8,9,14,17,49
7.70E-05,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
5.70E-05,74,82,61,2022,8,9,14,17,49
0.004784,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000335,74,82,61,2022,8,9,14,17,49
0.004928,1506,57,83,2022,8,9,14,17,49
0.000129,74,82,61,2022,8,9,14,17,49
0.004902,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0.000122,74,82,61,2022,8,9,14,17,49
0.000106,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
7.40E-05,74,82,61,2022,8,9,14,17,49
0.004938,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0.000123,74,82,61,2022,8,9,14,17,49
0.004986,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000238,74,82,61,2022,8,9,14,17,49
0.005001,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000145,74,82,61,2022,8,9,14,17,49
0.00491,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0.000182,74,82,61,2022,8,9,14,17,49
0.00509,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000146,74,82,61,2022,8,9,14,17,49
0.004808,1344,57,83,2022,8,9,14,17,49
7.70E-05,74,82,61,2022,8,9,14,17,49
8.60E-05,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
5.80E-05,74,82,61,2022,8,9,14,17,49
8.60E-05,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
6.80E-05,74,82,61,2022,8,9,14,17,49
0.008459,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
