,Delay,Date,Time,Source IP address,Destination IP address,Bandwidth,date_year,date_month_no,date_day,hour,min,sec
287,0.004722,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
288,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
289,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
290,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
291,0.000235,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
292,0.004787,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
293,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
294,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
295,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
296,0.000258,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
